FOODID,FOODNAME_FI,FOODNAME_EN,FOODNAME_SV,FUCLASS,IGCLASS,FUCLASS_subsitute,kgCO2-eq/kg,gCO2-eq/100g,Data quality,Average_source
787,"MAKSA, SIAN","LIVER, PORK","LEVER, GRIS",Sisäelinruoat,Elimet,,1.81,181.0,Product,-
788,"MAKSA, BROILERIN","LIVER, CHICKEN","LEVER, KYCKLING",Sisäelinruoat,Elimet,,1.09,109.0,Product,-
789,"MAKSA, PORON","LIVER, REINDEER","LEVER, REN",Sisäelinruoat,Elimet,,12.47,1247.0,Category average,IGCLASS
790,"MAKSA, KESKIARVO","LIVER, AVERAGE","LEVER, MEDELVÄRDE",Sisäelinruoat,Elimet,,12.47,1247.0,Category average,IGCLASS
791,MUNUAINEN,KIDNEY,NJURE,Sisäelinruoat,Elimet,,12.47,1247.0,Category average,IGCLASS
792,"SYDÄN, NAUDAN","HEART, BEEF","HJÄRTA, NÖT",Sisäelinruoat,Elimet,,20.83,2083.0,Product,-
793,"KIELI, NAUDAN","TONGUE, BEEF","TUNGA, NÖT",Sisäelinruoat,Elimet,,20.83,2083.0,Product,-
794,VERI,BLOOD,BLOD,Sisäelinruoat,Elimet,,12.47,1247.0,Category average,IGCLASS
797,"KOKOLIHALEIKKELE, POROLEIKKELE, KYLMÄSAVUSTETTU","REINDEER, COLD SMOKED","PÅLÄGG AV HELT KÖTT, RENPÅLÄGG, KALLRÖKT",Lihaleikkeleet,Lihaleikkeleet,,8.15,815.0,Category average,IGCLASS
799,"KOKOLIHALEIKKELE, KINKKULEIKKELE, VÄHÄRASVAINEN, RASVAA 3 %","HAM, COOKED HAM, LOW-FAT, 3% FAT","PÅLÄGG AV HELT KÖTT, SKINKPÅLÄGG, LÅG FETTHALT, 3 % FETT",Lihaleikkeleet,Lihaleikkeleet,,6.73,673.0,Product,-
800,"SILAKKA, TUORE, ITÄMERI",BALTIC HERRING,"STRÖMMING, FÄRSK, ÖSTERSJÖN",Kalat,Kalat,,1.94,194.0,Product,-
801,"SILAKKA, SUOLATTU, ITÄMERI","BALTIC HERRING, SALTED","STRÖMMING, SALTAD, ÖSTERSJÖN",Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
802,"SILAKKA, SAVUSTETTU, ITÄMERI","BALTIC HERRING, SMOKED","STRÖMMING, RÖKT, ÖSTERSJÖN",Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
803,"SILLI, TYNNYRIIN SUOLATTU","HERRING, SALTED","SILL, SALTAD I TUNNA",Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
804,TURSKA,COD,TORSK,Kalat,Kalat,,10.11,1011.0,Product,-
805,KUHA,"ZANDER, PIKE-PERCH",GÖS,Kalat,Kalat,,2.54,254.0,Product,-
806,"PUNA-AHVEN, SAVUSTETTU","REDFISH, SMOKED","RÖDFISK, RÖKT",Kalavalmiste,Kalavalmisteet,,10.11,1011.0,Product,-
807,"SINIPALLAS, SAVUSTETTU","HALIBUT, SMOKED","HÄLLEFLUNDRA, RÖKT",Kalavalmiste,Kalavalmisteet,,3.77,377.0,Product,-
809,"MUIKKU, JÄRVI","VENDACE, LAKE","MUJKA, INSJÖ",Kalat,Kalat,,1.39,139.0,Product,-
810,"MUIKKU, JÄRVI, SUOLATTU","VENDACE, SALTED LAKE FISH","MUJKA, INSJÖ, SALTAD",Kalavalmiste,Kalavalmisteet,,1.39,139.0,Product,-
811,"MUIKKU, JÄRVI, SAVUSTETTU","VENDACE, SMOKED LAKE FISH","MUJKA, INSJÖ, RÖKT",Kalavalmiste,Kalavalmisteet,,1.39,139.0,Product,-
812,AHVEN,PERCH,ABBORRE,Kalat,Kalat,,1.93,193.0,Product,-
813,HAUKI,PIKE,GÄDDA,Kalat,Kalat,,2.44,244.0,Category average,IGCLASS
814,LAHNA,BREAM,BRAXEN,Kalat,Kalat,,1.23,123.0,Product,-
815,SIIKA,"POWAN, WHITEFISH, POLLAN, LAVARET",SIK,Kalat,Kalat,,1.94,194.0,Product,-
816,"SIIKA, SAVUSTETTU","POWAN, SMOKED","SIK, RÖKT",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
817,"LOHI, KOKONAINEN","SALMON, WHOLE","LAX, HEL",Kalat,Kalat,,4.84,484.0,Product,-
818,"LOHI, TUORESUOLATTU","SALMON, SALT-CURED","LAX, GRAVAD",Kalavalmiste,Kalavalmisteet,,5.17,517.0,Product,-
819,MADE,BURBOT,LAKE,Kalat,Kalat,,4.43,443.0,Category average,IGCLASS
820,KAMPELA,FLOUNDER,FLUNDRA,Kalat,Kalat,,4.43,443.0,Category average,IGCLASS
821,ANKERIAS,EEL,ÅL,Kalat,Kalat,,4.43,443.0,Category average,IGCLASS
822,"KIRJOLOHI, KOKONAINEN, KESKIARVO","RAINBOW TROUT, WHOLE, AVERAGE","REGNBÅGSLAX, HEL, MEDELVÄRDE",Kalat,Kalat,,5.44,544.0,Product,-
823,TAIMEN,TROUT,ÖRING,Kalat,Kalat,,4.81,481.0,Product,-
824,"KALA, KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI","FISH, AVERAGE, BALTIC HERRING/VENDACE/PERCH/PIKE","FISK, MEDELVÄRDE, STRÖMMING/MUJKA/ABBORRE/GÄDDA",Kalat,Kalat,,1.94,194.0,Product,-
825,"NAHKIAINEN, SAVUSTETTU","LAMPREY, SMOKED","NEJONÖGA, RÖKT",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
826,"SEITI, PAKASTE","SAITHE, FROZEN","SEJ, DJUPFRYST",Kalat,Kalat,,5.36,536.0,Product,-
828,"TONNIKALA, ÖLJYSSÄ, SÄILYKE","TUNA, IN OIL, CANNED","TONFISK, I OLJA",Kalavalmiste,Kalavalmisteet,,11.65,1165.0,Product,-
829,ANJOVIS,ANCHOVY,ANSJOVIS,Kalavalmiste,Kalavalmisteet,,1.79,179.0,Product,-
830,"LOHI, ÖLJYSSÄ","SALMON IN OIL, CANNED","LAX, KONSERV, I OLJA",Kalavalmiste,Kalavalmisteet,,6.53,653.0,Product,-
831,"SARDIINI, KESKIARVO, ÖLJYSSÄ JA TOMAATTIKASTIKKEESSA","SARDINE, AVERAGE, IN OIL AND TOMATO SAUCE","SARDIN, MEDELVÄRDE, I OLJA OCH TOMATSÅS",Kalavalmiste,Kalavalmisteet,,4.69,469.0,Product,-
832,"KAVIAARI, SAMMEN MÄTI","CAVIAR, DARK ROE OF STURGEON","ROMKAVIAR, MÖRK STÖRROM",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
833,MÄTITAHNA,ROE PASTE,ROMKRÄM,Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
834,"SINISIMPUKKA, VEDESSÄ, SÄILYKE","MUSSEL IN WATER, CANNED","BLÅMUSSLA, I VATTEN",Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,4.18,418.0,Product,-
835,KATKARAPU,SHRIMP,RÄKA,Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,2.32,232.0,Product,-
836,RAPU,CRAYFISH,KRÄFTA,Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,4.41,441.0,Category average,IGCLASS
837,"SILLI, MAUSTE/SUOLASILLI, KESKIARVO","HERRING, PICKLED/SALTED, AVERAGE","SILL, KRYDD-/SALTSILL, MEDELVÄRDE",Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
838,"SILAKKA, MAUSTE/SUOLASILAKKA, KESKIARVO","BALTIC HERRING, PICKLED/SALTED, AVERAGE","STRÖMMING, KRYDD-/SALTSTRÖMMING, MEDELVÄRDE",Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
844,"LAHNA, SAVUSTETTU","BREAM, SMOKED","BRAXEN, RÖKT",Kalavalmiste,Kalavalmisteet,,10.55,1055.0,Product,-
845,SÄRKI,ROACH,MÖRT,Kalat,Kalat,,1.94,194.0,Product,-
846,"PUNA-AHVEN, PUNASIMPPU, PAKASTE","REDFISH, ROSEFISH, FROZEN","RÖDFISK, DJUPFRYST",Kalavalmiste,Kalat,,10.09,1009.0,Product,-
848,"KIRJOLOHIFILEE, MERI","RAINBOW TROUT SEA, FILLET","REGNBÅGSLAXFILÉ, HAV",Kalat,Kalat,,5.44,544.0,Product,-
851,"KANANMUNAN KELTUAINEN, 34 % KANANMUNAN MASSASTA","EGG YOLK, 34% OF EGG MASS","ÄGGULA, 34 % AV ÄGGMASSAN",Kananmuna,Kananmunat,,2.01,201.0,Product,-
852,"KANANMUNAN VALKUAINEN, 66 % KANANMUNAN MASSASTA","EGG WHITE, 66% OF EGG MASS","ÄGGVITA, 66 % AV ÄGGMASSAN",Kananmuna,Kananmunat,,2.01,201.0,Product,-
855,VIIRIÄISEN MUNA,"EGG, QUAIL, RAW",VAKTELÄGG,Kananmuna,Muiden lintujen munat,,2.34,234.0,Category average,FUCLASS
856,"KALA, SAVUSTETTU, KESKIARVO, VÄHÄRASVAINEN","FISH, LOW-FAT, AVERAGE, SMOKED","FISK, RÖKT, MEDELVÄRDE, FETTSNÅL",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
857,"KALA, SAVUSTETTU, KESKIARVO, RASVAINEN","FISH, FATTY, SMOKED","FISK, RÖKT, MEDELVÄRDE, FET",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
858,"KANANMUNA, KUORETON",EGG WITHOUT SHELL,"ÄGG, UTAN SKAL",Kananmuna,Kananmunat,,1.8,180.0,Product,-
859,"SILLI, VALKOSIPULI-/SINAPPIKASTIKKEESSA",HERRING IN GARLIC OR MUSTARD SAUCE,SILL I VITLÖKS-/SENAPSSÅS,Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
860,"SILAKKA, TILLI-/SINAPPIKASTIKKEESSA",BALTIC HERRING IN DILL OR MUSTARD SAUCE,STRÖMMING I DILLSÅS/SENAPSSÅS,Kalavalmiste,Kalavalmisteet,,1.94,194.0,Product,-
862,TONNIKALA,TUNA,TONFISK,Kalat,Kalat,,3.95,395.0,Product,-
863,OSTERI,"OYSTER, EUROPEAN","OSTRON, VÄGDA MED SKAL",Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,0.7,70.0,Product,-
864,ETANA,SNAIL,SNIGEL,Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,4.41,441.0,Category average,IGCLASS
865,MUSTEKALA,SQUID,BLÄCKFISK,Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,4.72,472.0,Product,-
866,HUMMERI,LOBSTER,HUMMER,Äyriäiset ja nilviäiset,Äyriäiset ja nilviäiset,,10.13,1013.0,Product,-
870,"KIRJOLOHIFILEE, TUORESUOLATTU","RAINBOW TROUT FILLET, SALT-CURED","REGNBÅGSLAXFILÉ, GRAVAD",Kalavalmiste,Kalavalmisteet,,4.97,497.0,Product,-
871,LOHIFILEE,SALMON FILLET,LAXFILÉ,Kalat,Kalat,,4.84,484.0,Product,-
900,"KAHVI, KAHVIJUOMA, KESKIARVO","COFFEE, AVERAGE","KAFFE, KAFFEDRYCK, MEDELVÄRDE",Kahvi,Kahvi,,7.12,712.0,Product,-
901,TEE,TEA,TE,Tee,Tee,,1.55,155.0,Product,-
902,"OLUT, KESKIOLUT, 4,5 TIL% ALKOHOLIA","BEER, LAGER, MEDIUM STRENGTH, 4.5% VOLUME","ÖL, MELLANÖL, 4,5 VOL-% ALKOHOL",Oluet,Oluet,,0.87,87.0,Product,-
903,"OLUT, A-OLUT, 5-5,5 TIL% ALKOHOLIA","BEER, LAGER, STRONG, 5-5.5% VOLUME","ÖL, A-ÖL, 5- 5,5 VOL-% ALKOHOL",Oluet,Oluet,,0.87,87.0,Product,-
904,"VIINI, KESKIARVO, 8-15 TIL% ALKOHOLIA","WINE, AVERAGE, 8-15% VOLUME","VIN, MEDELVÄRDE, 8-15 VOL-% ALKOHOL",Viinit,Viinit,,1.08,108.0,Category average,IGCLASS
905,"VÄKEVÄ VIINI, MAKEA, KATKERO, SHERRY, VERMUTTI, MADEIRA, HEDELMÄVIINI","WINE, FORTIFIED, SWEET, BITTERS, SHERRY, VERMOUTH, MADEIRA, FRUIT WINE","STARKVIN, SÖTT, BITTER, SHERRY, VERMOUTH, MADEIRA, FRUKTVIN",Viinit,Viinit,,1.08,108.0,Category average,IGCLASS
906,"VIINA, KIRKAS, VODKA, GINI","SPIRIT, VODKA, GIN","STARKSPRIT, VODKA, GIN",Väkevät viinat,Väkevät viinat,,0.92,92.0,Product,-
907,"KONJAKKI/ROMMI/VISKI, 40 TIL% ALKOHOLIA","SPIRIT, BRANDY/RUM/WHISKY 40% VOLUME","KONJAK/ROM/WHISKEY, 40 VOL-% ALKOHOL",Väkevät viinat,Väkevät viinat,,0.92,92.0,Product,-
908,"LIKÖÖRI, 20-30 TIL% ALKOHOLIA","LIQUEUR, 20-30% VOLUME","LIKÖR, 20-30 VOL-% ALKOHOL",Väkevät viinat,Väkevät viinat,,1.21,121.0,Product,-
909,"GIN LONG DRINK, 5,5 TIL%","GIN AND GRAPEFRUIT DRINK, 5.5% VOLUME","GIN LONG DRINK, 5,5 VOL-% ALKOHOL","Alkoholijuomat, muut",Muut alkoholijuomat,Siiderit,0.82,82.0,Category average,FUCLASS
910,VIRVOITUSJUOMA,"SOFT DRINK, LEMONADE",LÄSKEDRYCK,"Virvoitusjuomat, sokeroidut",Virvoitusjuomat,,0.28,28.0,Product,-
911,"SIIDERI, MAKEA, <3 TIL% ALKOHOLIA","CIDER, SWEET, <3% VOLUME","CIDER SÖT, <3 VOL-% ALKOHOL",Siiderit,Siiderit,,0.82,82.0,Product,-
912,SIMA,"MEAD, FINNISH SIMA",MJÖD,Muut juomat,Muut juomat,,0.91,91.0,Category average,IGCLASS
913,"OLUT, I-OLUT, <2,8 TIL% ALKOHOLIA","BEER, LAGER, VERY MILD <2.8% VOLUME","ÖL, I-ÖL, <2,8 VOL-% ALKOHOL",Oluet,Oluet,,0.87,87.0,Product,-
914,"KALJA, KOTIOLUT","BEER HOME-MADE, ALCOHOL-FREE",SVAGDRICKA,Muut juomat,Muut juomat,,0.99,99.0,Product,-
915,"KIVENNÄISVESI, MINERAALIVESI",MINERAL WATER,MINERALVATTEN,Vedet,Vesi,,0.17,17.0,Product,-
917,"TEE, SITRUUNATEEJUOMAJAUHE, VALMISTAMATON, SOKERILLA MAKEUTETTU PIKATEE","LEMON TEA DRINK POWDER, SWEETENED INSTANT TEA","TE, CITRONTEPULVER, OTILLREDD, SNABBTE, SÖTAT MED SOCKER",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,6.4,640.0,Category average,IGCLASS
920,"VIRVOITUSJUOMA, SOKERITON, LIGHT","SOFT DRINK, LIGHT, SUGAR-FREE","LÄSKEDRYCK, SOCKERFRI, LIGHT",Keinotekoisesti makeutetut juomat,Keinotekoisesti makeutetut juomat,,0.18,18.0,Product,-
921,"KIVENNÄISVESI, VÄHÄNATRIUMINEN","MINERAL WATER, LOW SODIUM","MINERALVATTEN, LÅG NATRIUMHALT",Vedet,Vesi,,0.17,17.0,Product,-
922,"VESI, VESIJOHTOVESI","WATER, TAP WATER","VATTEN, KRANVATTEN",Vedet,Vesi,,0.17,17.0,Category average,IGCLASS
923,"TEE, YRTTITEE","TEA, HERBAL TEA","TE, ÖRTTE",Tee,Tee,,1.55,155.0,Product,-
924,PUNAVIINI,RED WINE,RÖDVIN,Viinit,Viinit,,1.14,114.0,Product,-
925,"VALKOVIINI, KUIVA","WHITE WINE, DRY","VITT VIN, TORRT",Viinit,Viinit,,1.05,105.0,Product,-
926,"VALKOVIINI, MAKEA","WHITE WINE, SWEET","VITT VIN, SÖTT",Viinit,Viinit,,1.05,105.0,Product,-
928,"VIRVOITUSJUOMA, KOLAJUOMA, KESKIARVO","SOFT DRINK, COLA, AVERAGE","LÄSKEDRYCK, COLADRYCK, MEDELVÄRDE","Virvoitusjuomat, sokeroidut",Kofeiinipitoiset virvoitusjuomat,,0.25,25.0,Category average,IGCLASS
929,VIINIETIKKA,"VINEGAR, WINE VINEGAR","VINÄGER, VINÄTTIKA",Maustekastikkeet,Maustekastikkeet,,1.14,114.0,Product,-
930,"KAHVI, SUODATINKAHVIJUOMA",FILTERED COFFEE DRINK,"KAFFE, FILTERKAFFE",Kahvi,Kahvi,,7.12,712.0,Product,-
931,"KAHVI, PANNUKAHVIJUOMA",BOILED COFFEE DRINK,"KAFFE, PANNKAFFE",Kahvi,Kahvi,,7.12,712.0,Product,-
932,"KAHVI, CAPPUCCINO, MAKEUTTAMATON, TÄYSMAITO","CAPPUCCINO, UNSWEETENED, WHOLE MILK","KAFFE, CAPPUCCINO, OSÖTAD, HELMJÖLK",Kahvi,Kahvi,,6.86,686.0,Product,-
933,VÄKIVIINAETIKKA,VINEGAR,STARKSPRITSÄTTIKA,Maustekastikkeet,Maustekastikkeet,,1.14,114.0,Product,-
934,HUNAJA-OMENA-VIINIETIKKA,VINEGAR WITH HONEY AND APPLE,HONUNGS-ÄPPELVINÄGER,Maustekastikkeet,Maustekastikkeet,,0.82,82.0,Product,-
936,"MIETO VIINI, 4-5 TIL% ALKOHOLIA","WINE, LIGHT, 4-5% VOLUME","SVAGT VIN, 4-5 VOL-% ALKOHOL",Viinit,Viinit,,1.08,108.0,Category average,IGCLASS
937,"TEE, VIHREÄ TEE","TEA, GREEN TEA","TEE, GRÖNT TE",Tee,Tee,,1.55,155.0,Product,-
938,"VIRVOITUSJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU","SOFT DRINK, PARTIALLY ARTIFICIALLY SWEETENED","LÄSKEDRYCK, DELVIS SYNTETISKT SÖTAD",Keinotekoisesti makeutetut juomat,Keinotekoisesti makeutetut juomat,,0.3,30.0,Product,-
939,"SIIDERI, MAKEA, 4,7 TIL% ALKOHOLIA","CIDER, SWEET, 4.7% VOLUME","CIDER, SÖT, 4,7 VOL-% ALKOHOL",Siiderit,Siiderit,,0.82,82.0,Product,-
940,"OLUT, VAHVA, 7,5-8 TIL% ALKOHOLIA","BEER, STRONG ALE, 7.5-8% VOLUME","ÖL, STARKT, 7,5- 8 VOL-% ALKOHOL",Oluet,Oluet,,0.87,87.0,Product,-
941,"VIRVOITUSJUOMA, KOLAJUOMA LIGHT, OSITTAIN KEINOTEKOISESTI MAKEUTETTU","SOFT DRINK, COLA, LIGHT, PARTIALLY ARTIFICIALLY SWEETENED","LÄSKEDRYCK, COLADRYCK LIGHT, DELVIS SYNTETISKT SÖTAD",Keinotekoisesti makeutetut juomat,Keinotekoisesti makeutetut juomat,,0.3,30.0,Product,-
942,"KERMALIKÖÖRI, 15-17 TIL% ALKOHOLIA","CREAM LIQUEUR, 15-17% VOLUME","GRÄDDLIKÖR, 15-17 VOL-% ALKOHOL",Väkevät viinat,Väkevät viinat,,1.21,121.0,Product,-
946,"TÄRKKELYSSIIRAPPI, GLUKOOSISIIRAPPI","GLUCOSE SYRUP, PARTLY REFINED, STARCHY","STÄRKELSESIRAP, GLUKOSSIRAP","Sokerit, siirapit","Sokerit, siirapit",,0.82,82.0,Category average,IGCLASS
1554,JUUSTONAKSU,CHEESE PUFFS,OSTSNACKS,Suolaiset naposteltavat,Muu vilja,,1.69,169.0,Category average,IGCLASS
5007,VOILEIPÄPIKKELSSI,SANDWICH RELISH,SMÖRGÅSPICKELS,Salaatinkastikkeet ja majoneesit,Salaatinkastikkeet ja majoneesit,,2.56,256.0,Category average,IGCLASS
11001,"(ARC)VAALEA JUURIKASVIS, KESKIARVO","(ARC)ROOT VEGETABLE, AVERAGE, LIGHT COLORED","(ARC)LJUS ROTSAK, MEDELVÄRDE","Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.24,24.0,Category average,IGCLASS
11002,"(ARC)TUMMANVIHREÄ LEHTIKASVIS, KESKIARVO","(ARC)LEAF VEGETABLE, AVERAGE, DARK GREEN","(ARC)MÖRKGRÖNA BLADGRÖNSAKER, MEDELVÄRDE","Kasvikset, tuoreet",Lehtivihannekset,,0.93,93.0,Category average,IGCLASS
11004,"MÄTI, KESKIARVO","ROE, AVERAGE","ROM, MEDELVÄRDE",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
11005,NELJÄN VILJAN HIUTALE,4-GRAIN FLAKES,FYRKORNSFLINGOR,Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
11007,RUUSUNMARJA,ROSE HIP,NYPON,Marjat,Marjat,,1.93,193.0,Category average,IGCLASS
11012,"MANSIKKAHILLO, KOTITEKOINEN, SOKERIA 54 %","STRAWBERRY JAM, 54% SUGAR, HOME-MADE","JORDGUBBSSYLT, HEMLAGAD, SOCKER 54 G/100 G","Hillot, marmeladit",Hillot,,1.36,136.0,Product,-
11013,APPELSIINIMARMELADI,ORANGE MARMALADE,APELSINMARMELAD,"Hillot, marmeladit",Hillot,,1.07,107.0,Product,-
11014,PALMUÖLJY,PALM OIL,PALMOLJA,Öljy,Öljy,,0.95,95.0,Product,-
11030,"JAUHO, RUISSIHTIJAUHO","FLOUR, RYE, FINE RYE FLOUR","MJÖL, RÅGSIKTMJÖL",Jauhot,Ruis,,0.58,58.0,Product,-
11045,"APPELSIINI, KUORITTU",ORANGE WITHOUT SKIN,"APELSIN, SKALAD","Hedelmät, tuoreet",Sitrushedelmät,,0.27,27.0,Product,-
11046,"MANDARIINI, KUORITTU","MANDARIN, AVERAGE, WITHOUT SKIN","MANDARIN, SKALAD","Hedelmät, tuoreet",Sitrushedelmät,,0.23,23.0,Product,-
11047,"GREIPPI, KUORITTU","GRAPEFRUIT, WITHOUT SKIN","GRAPE, SKALAD","Hedelmät, tuoreet",Sitrushedelmät,,0.52,52.0,Product,-
11048,"SITRUUNA, KUORITTU","LEMON, WITHOUT SKIN","CITRON, SKALAD","Hedelmät, tuoreet",Sitrushedelmät,,0.23,23.0,Product,-
11049,"BANAANI, KUORITTU","BANANA, WITHOUT SKIN","BANAN, SKALAD","Hedelmät, tuoreet",Muut hedelmät,,0.47,47.0,Product,-
11050,"KIIVI, KUORITTU","KIWI FRUIT, WITHOUT SKIN","KIWI, SKALAD","Hedelmät, tuoreet",Muut hedelmät,,0.55,55.0,Product,-
11051,"PERSIKKA/NEKTARIINI, KUORITTU, KIVETÖN","PEACH/NECTARINE, WITHOUT SKIN AND STONE","PERSIKA/NEKTARIN, SKALAD, KÄRNFRI","Hedelmät, tuoreet",Omenahedelmät,,0.27,27.0,Product,-
11052,"KIRSIKKA, KIVETÖN",CHERRY WITHOUT STONE,"KÖRSBÄR, KÄRNFRI","Hedelmät, tuoreet",Muut hedelmät,,0.69,69.0,Product,-
11053,"LUUMU, KIVETÖN","PLUM, WITHOUT STONE","PLOMMON, KÄRNFRI","Hedelmät, tuoreet",Omenahedelmät,,0.53,53.0,Product,-
11054,"APRIKOOSI, KESKIARVO, KIVETÖN","APRICOT, AVERAGE, WITHOUT STONE","APRIKOS, MEDELVÄRDE, KÄRNFRI","Hedelmät, tuoreet",Omenahedelmät,,0.35,35.0,Product,-
11055,"VESIMELONI, KUORITTU","WATERMELON, WITHOUT SKIN","VATTENMELON, SKALAD","Hedelmät, tuoreet",Muut hedelmät,,0.29,29.0,Product,-
11056,"ANANAS, KUORITTU","PINEAPPLE, WITHOUT SKIN","ANANAS, SKALAD","Hedelmät, tuoreet",Muut hedelmät,,0.3,30.0,Product,-
11057,"AVOKADO, KUORITTU, KIVETÖN","AVOCADO, WITHOUT SKIN AND STONE","AVOKADO, SKALAD, KÄRNFRI","Hedelmät, tuoreet",Muut hedelmät,,0.82,82.0,Product,-
11059,"TONNIKALA, KESKIARVO","TUNA, AVERAGE","TONFISK, MEDELVÄRDE",Kalavalmiste,Kalavalmisteet,,4.46,446.0,Category average,IGCLASS
11060,"OMENA, KOTIMAINEN, KUORITTU","APPLE, DOMESTIC, WITHOUT SKIN","ÄPPLE, INHEMSKT, SKALAT","Hedelmät, tuoreet",Omenahedelmät,,0.18,18.0,Product,-
11061,"OMENA, ULKOMAINEN, KUORITTU","APPLE, IMPORTED, WITHOUT SKIN","ÄPPLE, UTLÄNDSKT, SKALAT","Hedelmät, tuoreet",Omenahedelmät,,0.18,18.0,Product,-
11062,"PÄÄRYNÄ, KUORITTU","PEAR, WITHOUT SKIN","PÄRON, SKALAT","Hedelmät, tuoreet",Omenahedelmät,,0.17,17.0,Product,-
11063,"LUUMU, KIVETÖN, KUIVATTU","PRUNE, WITHOUT STONE","PLOMMON, KÄRNFRI, TORKAD","Pähkinät, siemenet ja kuivatut hedelmät",Omenahedelmät,,2.44,244.0,Product,-
11064,"HERKKUSIENI, SÄILYKE","CHAMPIGNON, CANNED","CHAMPINJONER, KONSERV",Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
11065,"RUUSUNMARJASOSE, SOKERITON","ROSE HIP PUREE, WITHOUT SUGAR","NYPONPURÉ, UTAN SOCKER",Marjat,Hedelmäsäilykkeet,,0.93,93.0,Category average,IGCLASS
11067,"TONNIKALA, VEDESSÄ, SÄILYKE","TUNA, IN WATER, CANNED","TONFISK, I VATTEN",Kalavalmiste,Kalavalmisteet,,11.65,1165.0,Product,-
11069,"VIINI, ALKOHOLITON","WINE, NON-ALCOHOLIC","VIN, ALKOHOLFRITT",Muut juomat,Muut juomat,,0.91,91.0,Category average,IGCLASS
11071,"EKSOOTTINEN HEDELMÄ, KESKIARVO, MANGO/PAPAIJA, KUORITTU","EXOTIC FRUIT, AVERAGE, MANGO/PAPAYA, WITHOUT SKIN","SPECIALFRUKT, EXOTISK, MEDELVÄRDE, MANGO/PAPAYA, SKALAD","Hedelmät, tuoreet",Muut hedelmät,,0.3,30.0,Product,-
11072,"HAPANKURKKU LIEMINEEN, VENÄLÄINEN KURKKU",SOURED CUCUMBER,SURGURKA,Kasvissäilykkeet,Kasvissäilykkeet,,15.81,1581.0,Category average,IGCLASS
11074,"ITU, SINIMAILASEN ITU","SPROUT, ALFALFA","GRODDAR, ALFALFA-GRODDAR","Kasvikset, tuoreet",Lehtivihannekset,,1.4,140.0,Product,-
11086,"PÄHKINÄ, CASHEWPÄHKINÄ","NUT, CASHEW NUT","NÖT, CASHEW-NÖT","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.54,254.0,Product,-
11087,"TAHINI, SEESAMTAHNA, EI LISÄTTYÄ SUOLAA","SESAME SEED PASTE TAHINI, WITHOUT ADDED SALT","SESAMPASTA TAHINI, UTAN SALT",Maustekastikkeet,Maustekastikkeet,,2.44,244.0,Product,-
11089,KIKHERNE SUOLATTOMASSA VEDESSÄ,CHICK PEA IN UNSALTED WATER,"KIKÄRT I OSALTAT VATTEN, KAFFEÄRT",Palkokasvit,Palkokasvit,,0.61,61.0,Product,-
11090,"PAPU, VALKOINEN, TOMAATTIKASTIKE","BEAN, WHITE BEAN, IN TOMATO SAUCE","BÖNOR, VITA BÖNOR, TOMATSÅS",Palkokasvit,Palkokasvituotteet,,0.46,46.0,Product,-
11092,"HERAJAUHE, TEOLLISUUDEN RAAKA-AINE",WHEY POWDER. FOR FOOD INDUSTRY,"VASSLEPULVER, FÖR LIVSMEDELSINDUSTRI",Sekalaiset ruoka-aineet,Maitojauheet,,14.67,1467.0,Category average,IGCLASS
11130,"TUOREJUUSTO, RASVAA 6-11 %, MAUSTETTU","CREAM CHEESE, 6-11% FAT, FLAVOURED","FÄRSKOST, 6-11 % FETT, SMAKSATT","Juustot, tuorejuustot","Juustot, tuorejuustot, rasvaa <= 15 %",,1.84,184.0,Product,-
